# Frequency (eV) 	 Current Real 	 Imaginary
0.26974	0.0248334	-0.270872
0.270108	0.0249349	-0.271413
0.270475	0.0250368	-0.271956
0.270843	0.0251391	-0.272499
0.27121	0.0252419	-0.273043
0.271577	0.0253451	-0.273588
0.271945	0.0254487	-0.274135
0.272312	0.0255528	-0.274682
0.27268	0.0256574	-0.275231
0.273047	0.0257624	-0.275781
0.273415	0.0258679	-0.276331
0.273782	0.0259738	-0.276883
0.27415	0.0260802	-0.277436
0.274517	0.0261871	-0.27799
0.274885	0.0262945	-0.278546
0.275252	0.0264024	-0.279102
0.27562	0.0265107	-0.279659
0.275987	0.0266196	-0.280218
0.276355	0.0267289	-0.280778
0.276722	0.0268388	-0.281338
0.27709	0.0269492	-0.2819
0.277457	0.02706	-0.282463
0.277825	0.0271714	-0.283028
0.278192	0.0272834	-0.283593
0.27856	0.0273958	-0.284159
0.278927	0.0275088	-0.284727
0.279295	0.0276223	-0.285296
0.279662	0.0277363	-0.285866
0.28003	0.0278509	-0.286437
0.280397	0.0279661	-0.287009
0.280765	0.0280818	-0.287582
0.281132	0.0281981	-0.288157
