# Frequency (eV) 	 Current Real 	 Imaginary
0.227478	2.26411e-05	-0.00201792
0.227846	1.77989e-05	-0.00201793
0.228213	1.25162e-05	-0.00201853
0.228581	6.84768e-06	-0.00201975
0.228948	8.55349e-07	-0.00202166
0.229316	-5.39167e-06	-0.00202428
0.229683	-1.18168e-05	-0.00202766
0.230051	-1.83367e-05	-0.00203182
0.230418	-2.48614e-05	-0.00203678
0.230786	-3.12962e-05	-0.00204255
0.231153	-3.75427e-05	-0.00204913
0.231521	-4.35004e-05	-0.00205648
0.231888	-4.90697e-05	-0.00206459
0.232256	-5.41531e-05	-0.0020734
0.232623	-5.86585e-05	-0.00208286
0.232991	-6.25012e-05	-0.00209288
0.233358	-6.56066e-05	-0.00210338
0.233726	-6.79119e-05	-0.00211427
0.234093	-6.9369e-05	-0.00212542
0.234461	-6.99453e-05	-0.00213672
0.234828	-6.96256e-05	-0.00214805
0.235196	-6.84126e-05	-0.00215929
0.235563	-6.63275e-05	-0.00217031
0.235931	-6.34096e-05	-0.00218099
0.236298	-5.97158e-05	-0.00219121
0.236666	-5.53197e-05	-0.00220087
0.237033	-5.03096e-05	-0.00220988
0.237401	-4.47868e-05	-0.00221816
0.237768	-3.88629e-05	-0.00222565
0.238136	-3.26579e-05	-0.00223229
0.238503	-2.62968e-05	-0.00223806
0.238871	-1.99068e-05	-0.00224295
0.239238	-1.36148e-05	-0.00224697
0.239606	-7.54427e-06	-0.00225014
0.239973	-1.81258e-06	-0.00225251
0.240341	3.47128e-06	-0.00225414
0.240708	8.20893e-06	-0.00225511
0.241076	1.23144e-05	-0.00225549
0.241443	1.57157e-05	-0.00225539
0.241811	1.83556e-05	-0.00225491
0.242178	2.01925e-05	-0.00225415
0.242546	2.12008e-05	-0.00225325
0.242913	2.13706e-05	-0.00225229
0.243281	2.07072e-05	-0.00225141
0.243648	1.92307e-05	-0.0022507
0.244015	1.69745e-05	-0.00225028
0.244383	1.39843e-05	-0.00225023
0.24475	1.0317e-05	-0.00225064
0.245118	6.03849e-06	-0.0022516
0.245485	1.22268e-06	-0.00225317
0.245853	-4.05038e-06	-0.0022554
0.24622	-9.69601e-06	-0.00225835
0.246588	-1.56264e-05	-0.00226205
0.246955	-2.17521e-05	-0.00226652
0.247323	-2.79833e-05	-0.00227178
0.24769	-3.4231e-05	-0.00227783
